Stations_id	von_datum	bis_datum	Stationshoehe	geoBreite	geoLaenge	Stationsname	Bundesland
13670	20070601	20240126	24	515.088	67.018	Duisburg-Baerl	Nordrhein-Westfalen
13674	20070801	20240126	237	492.943	89.053	Waibstadt	Baden-Württemberg
13675	20071101	20240126	75	520.818	94.077	Hameln-Hastenbeck	Niedersachsen
13696	20071201	20240126	60	515.966	74.048	Waltrop-Abdinghof	Nordrhein-Westfalen
13700	20080501	20240126	203	513.329	73.412	Gevelsberg-Oberbröking	Nordrhein-Westfalen
13710	20080401	20240126	490	485.734	122.576	Landshut-Reithof	Bayern
13711	20071201	20240126	289	506.820	115.150	Krölpa-Rockendorf	Thüringen
13713	20071101	20240126	386	510.899	76.289	Meinerzhagen-Redlendorf	Nordrhein-Westfalen
13776	20080301	20110104	85	521.789	99.524	Hildesheim-Drispenstedt	Niedersachsen
13777	20080601	20240126	109	522.467	109.592	Helmstedt-Emmerstedt	Niedersachsen
13904	20080915	20100426	3	550.000	63.333	Nordseeboje	Hamburg
13965	20081201	20240126	619	482.639	88.134	Balingen-Bronnhaupten	Baden-Württemberg
14003	19610103	19920629	728	478.619	106.144	Kaufbeuren	Bayern
15000	20110401	20240126	231	507.983	60.244	Aachen-Orsbach	Nordrhein-Westfalen
15207	20131101	20240126	317	512.835	93.590	Schauenburg-Elgershausen	Hessen
15444	20140901	20240126	593	484.418	99.216	Ulm-Mähringen	Baden-Württemberg
15555	20160501	20240126	815	478.761	105.849	Kaufbeuren-Oberbeuren	Bayern
15813	20220301	20240126	40	525.126	74.131	Lingen-Baccum	Niedersachsen
19171	20200901	20240126	13	540.039	98.555	Hasenkrug-Hardebek	Schleswig-Holstein
19172	20200901	20240126	48	540.246	93.880	Wacken	Schleswig-Holstein
19207	20230401	20240126	16	538.178	120.645	Gülzow-Prüzen	Mecklenburg-Vorpommern
