Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;lat;lon
1584;20090601;20240126;673;479.242;86.474;Geisingen;Baden-Württemberg;47.9242;8.6474
1587;19910101;20240126;536;489.481;114.289;Gelbelsee;Bayern;48.9481;11.4289
1590;20030701;20240126;37;514.942;62.463;Geldern-Walbeck;Nordrhein-Westfalen;51.4942;6.2463
1602;20040701;20240126;177;484.330;79.930;Ohlsbach;Baden-Württemberg;48.433;7.993
1605;19820101;20240126;35;523.875;121.602;Genthin;Sachsen-Anhalt;52.3875;12.1602
1612;19730101;20240126;311;508.812;121.289;Gera-Leumnitz;Thüringen;50.8812;12.1289
1639;19500101;20240126;203;506.017;86.439;Gießen/Wettenberg;Hessen;50.6017;8.6439
1645;20040501;20240126;340;509.656;90.500;Gilserberg-Moischeid;Hessen;50.9656;9.05
1666;20020101;20240126;12;548.273;95.058;Glücksburg-Meierwik;Schleswig-Holstein;54.8273;9.5058
1684;19510101;20240126;239;511.621;149.506;Görlitz;Sachsen;51.1621;14.9506
1691;19480101;20240126;167;515.002;99.507;Göttingen;Niedersachsen;51.5002;9.9507
1694;19810101;20240126;59;536.058;121.034;Goldberg;Mecklenburg-Vorpommern;53.6058;12.1034
1721;20061001;20240126;506;496.640;112.239;Gräfenberg-Kasberg;Bayern;49.664;11.2239
1735;20050301;20240126;628;487.894;136.290;Grainet-Rehberg;Bayern;48.7894;13.629
1736;20020124;20240126;26;535.731;106.797;Grambek;Schleswig-Holstein;53.5731;10.6797
1757;19780101;20240126;2;540.967;134.056;Greifswald;Mecklenburg-Vorpommern;54.0967;13.4056
1758;19510101;19780101;2;541.000;134.500;Greifswald-Wieck;Mecklenburg-Vorpommern;54.1;13.45
1759;20001025;20240126;12;542.437;139.102;Greifswalder;Mecklenburg-Vorpommern;54.2437;13.9102
1766;19891001;20240126;48;521.344;76.969;Münster/Osnabrück;Nordrhein-Westfalen;52.1344;7.6969
1792;20200814;20240126;27;527.553;74.815;Groß;Niedersachsen;52.7553;7.4815
1803;19910101;20240126;35;540.714;123.238;Groß;Mecklenburg-Vorpommern;54.0714;12.3238
1832;19821101;20240126;1436;491.129;131.338;Großer;Bayern;49.1129;13.1338
1833;19480101;19821101;1307;490.851;132.801;Grosser;Bayern;49.0851;13.2801
1834;19510101;19780701;913;508.519;104.665;Grosser;Thüringen;50.8519;10.4665
1863;20071201;20240126;258;502.667;91.854;Gründau-Breitenborn;Hessen;50.2667;9.1854
1869;19810101;20240126;56;533.154;139.339;Grünow;Brandenburg;53.3154;13.9339
1886;20160901;20240126;444;484.878;102.608;Günzburg;Bayern;48.4878;10.2608
1892;20020101;20131028;72;519.298;83.005;Gütersloh;Nordrhein-Westfalen;51.9298;8.3005
1902;19841101;19871001;413;491.273;107.448;Gunzenhausen/Altmühlsee;Bayern;49.1273;10.7448
1957;19530101;20150323;93;515.138;119.499;Halle-Kröllwitz;Sachsen-Anhalt;51.5138;11.9499
1960;19600101;19710101;102;514.831;119.671;Halle;Sachsen-Anhalt;51.4831;11.9671
1964;20050501;20240126;328;499.445;63.821;Olsdorf;Rheinland-Pfalz;49.9445;6.3821
1975;19490101;20240126;11;536.332;99.881;Hamburg-Fuhlsbüttel;Hamburg;53.6332;9.9881
1981;20050301;20240126;4;534.776;98.957;Hamburg-Neuwiedenthal;Hamburg;53.4776;9.8957
2014;19490101;20240126;55;524.644;96.779;Hannover;Niedersachsen;52.4644;9.6779
2023;20020101;20240126;501;487.918;107.062;Harburg;Bayern;48.7918;10.7062
2039;20061101;20240126;203;519.002;105.699;Harzburg,;Niedersachsen;51.9002;10.5699
2044;19810101;20240126;404;516.520;111.366;Harzgerode;Sachsen-Anhalt;51.652;11.1366
2074;20040601;20240126;518;483.752;89.800;Hechingen;Baden-Württemberg;48.3752;8.98
2080;20040701;20120912;110;494.206;86.676;Heidelberg;Baden-Württemberg;49.4206;8.6676
2081;19480101;19550101;561;493.981;87.251;Königstuhl;Baden-Württemberg;49.3981;8.7251
2088;20040601;20050512;522;486.849;101.420;Heidenheim/Brenz;Baden-Württemberg;48.6849;10.142
2110;20030101;20240126;57;510.411;61.042;Heinsberg-Schleiden;Nordrhein-Westfalen;51.0411;6.1042
2115;19520501;20240126;4;541.750;78.920;Helgoland;Schleswig-Holstein;54.175;7.892
2158;19961001;20090101;350;488.042;84.430;Herrenalb,;Baden-Württemberg;48.8042;8.443
2166;19820101;19910502;344;510.167;147.500;Herrnhut;Sachsen;51.0167;14.75
2167;20050301;20120402;302;497.672;73.356;Niederwörresbach;Rheinland-Pfalz;49.7672;7.3356
2171;19510101;20240126;272;508.520;97.377;Hersfeld,;Hessen;50.852;9.7377
2174;20101101;20240126;236;516.255;103.695;Herzberg;Niedersachsen;51.6255;10.3695
2201;20050801;20240126;1;545.750;131.044;Hiddensee-Vitte;Mecklenburg-Vorpommern;54.575;13.1044
2211;20041001;20240126;295;507.370;76.525;Hilgenroth;Rheinland-Pfalz;50.737;7.6525
2244;19710101;20050901;1008;477.327;81.627;Höchenschwand;Baden-Württemberg;47.7327;8.1627
2252;20050701;20240126;271;508.992;147.456;Bertsdorf-Hörnitz;Sachsen;50.8992;14.7456
2261;19480101;20240126;565;503.123;118.760;Hof;Bayern;50.3123;11.876
2290;19470101;20240126;977;478.009;110.108;Hohenpeißenberg;Bayern;47.8009;11.0108
2303;20020101;20240126;10;543.162;95.385;Hohn;Schleswig-Holstein;54.3162;9.5385
2306;20050801;20240126;8;543.194;106.732;Hohwacht;Schleswig-Holstein;54.3194;10.6732
2315;20021101;20240126;80;517.657;131.666;Holzdorf-Bernsdorf;Brandenburg;51.7657;13.1666
2319;20050601;20240126;685;478.823;116.961;Holzkirchen;Bayern;47.8823;11.6961
